Day,people_vaccinated_per_hundred,remaining_population
2021-01-09,0.0,1363973822
2021-01-13,0.0,1363973822
2021-01-15,0.0,1363973822
2021-01-16,0.0,1363973822
2021-01-19,0.0,1363973822
2021-01-20,0.0,1363973822
2021-01-22,0.0,1363973822
2021-01-23,0.0,1363973822
2021-01-24,0.0,1363973822
2021-01-25,0.0,1363973822
2021-01-26,0.0,1363973822
2021-01-27,0.0,1363973822
2021-01-28,0.0,1363973822
2021-01-29,0.0,1363973822
2021-01-30,0.0,1363973822
2021-01-31,0.0,1363973822
2021-02-01,0.0,1363973822
2021-02-02,0.0,1363973822
2021-02-03,0.0,1363973822
2021-02-04,0.0,1363973822
2021-02-05,0.0,1363973822
2021-02-06,0.0,1363973822
2021-02-08,0.0,1363973822
2021-02-09,0.0,1363973822
2021-02-10,0.0,1363973822
2021-02-11,0.0,1363973822
2021-02-12,0.0,1363973822
2021-02-13,0.0,1363973822
2021-02-15,0.0,1363973822
2021-02-16,0.0,1363973822
2021-02-17,0.0,1363973822
2021-02-18,0.0,1363973822
2021-02-19,0.18,1361518670
2021-02-20,0.19,1358931785
2021-02-21,0.19,1356349815
2021-02-22,0.2,1353637116
2021-02-23,0.2,1350929842
2021-02-24,0.23,1347822704
2021-02-25,0.25,1344453148
2021-02-26,0.26,1340957570
2021-02-27,0.27,1337336985
2021-02-28,0.27,1333726176
2021-03-01,0.28,1329991743
2021-03-02,0.29,1326134767
2021-03-03,0.3,1322156363
2021-03-04,0.3,1318189894
2021-03-05,0.31,1314103506
2021-03-06,0.32,1309898375
2021-03-07,0.33,1305575711
2021-03-08,0.35,1301006197
2021-03-09,0.35,1296452676
2021-03-10,0.37,1291655802
2021-03-11,0.37,1286876676
2021-03-12,0.38,1281986545
2021-03-13,0.39,1276986798
2021-03-14,0.39,1272006550
2021-03-15,0.39,1267045725
2021-03-16,0.4,1261977543
2021-03-17,0.4,1256929633
2021-03-17,0.4144893367557759,1251719794
2021-03-18,0.4389651929282617,1246225180
2021-03-19,0.4485218778847231,1240635588
2021-03-20,0.46375134155494374,1234882124
2021-03-21,0.46849586190656073,1229096753
2021-03-22,0.4737624400603067,1223273755
2021-03-23,0.4837659625806784,1217355973
2021-03-24,0.48848962428982245,1211409316
2021-03-25,0.4932154304096193,1205434459
2021-03-26,0.49848999204463795,1199425489
2021-03-27,0.5032152733779173,1193389797
2021-03-28,0.5124926225746014,1187273763
2021-03-29,0.5203084606691138,1181096278
2021-03-30,0.5426693920670517,1174686831
2021-03-31,0.5477103899368222,1168252950
2021-04-01,0.5651940089003626,1161650055
2021-04-02,0.5676966659913812,1155055407
2021-04-03,0.5751998635824782,1148411530
2021-04-04,0.5852017217819704,1141691006
2021-04-05,0.5876933755246141,1134981364
2021-04-06,0.5901861604864658,1128282862
2021-04-07,0.5976935695225807,1121539188
2021-04-08,0.6001860776491306,1114807866
2021-04-09,0.6091575897672961,1108016930
2021-04-10,0.6160489027003466,1101191004
2021-04-11,0.6394091708668724,1094149888
2021-04-12,0.6465839052161901,1087075291
2021-04-13,0.6630023986988154,1079867956
2021-04-14,0.6665643730829197,1072669941
2021-04-15,0.6730107311737463,1065450758
2021-04-16,0.6830133757922544,1058173587
2021-04-17,0.6865596900392711,1050908594
2021-04-18,0.6901076142551339,1043656194
2021-04-19,0.6965599661402094,1036386503
2021-04-20,0.7001074963597389,1029130684
2021-04-21,0.7092235215317679,1021831848
2021-04-22,0.7165516878218536,1014509895
2021-04-23,0.7394397529155328,1007008206
2021-04-24,0.7456062616556693,999499890
2021-04-25,0.7625280444606377,991878424
2021-04-26,0.7655894739867546,984284708
2021-04-27,0.7725352061376773,976680763
2021-04-28,0.7825374791602555,969037870
2021-04-29,0.785585448958605,961425250
2021-04-30,0.7886348025087162,953843116
2021-05-01,0.7955856862645377,946254477
2021-05-02,0.7986347011788315,938697361
2021-05-03,0.8076824415541376,931115668
2021-05-04,0.8148041874421532,923528899
2021-05-05,0.8379153762605013,915790509
2021-05-06,0.8445582881969802,908056125
2021-05-07,0.8612422585126942,900235562
2021-05-08,0.8645402037234818,892452664
2021-05-09,0.8712499734110095,884677171
2021-05-10,0.8812524220187813,876880933
2021-05-11,0.8845358677721776,869124607
2021-05-12,0.8878208041686316,861408338
2021-05-13,0.8945361234093892,853702730
2021-05-14,0.8978206950112705,846038011
2021-05-15,0.9069007010770375,838365287
2021-05-16,0.914119984002836,830701623
2021-05-17,0.9371257431885264,822916905
2021-05-18,0.9435435467728484,815152326
2021-05-19,0.9603398874042726,807324094
2021-05-20,0.963526075060862,799545316
2021-05-21,0.9703473408964289,791786950
2021-05-22,0.9803497065373065,784024669
2021-05-23,0.9835218860258663,776313615
2021-05-24,0.986695505649587,768653764
2021-05-25,0.9935221330012468,761017019
2021-05-26,0.9966954001908375,753431998
2021-05-27,1.0057601601867487,745854280
2021-05-28,1.0129333552566762,738299274
2021-05-29,1.0359889316792328,730650576
2021-05-30,1.0425131026653687,723033449
2021-05-31,1.0592563464729365,715374672
2021-06-01,1.0624953414134817,707773850
2021-06-02,1.0692639234838062,700205880
2021-06-03,1.0792663283279065,692648794
2021-06-04,1.0824910829581118,685150933
2021-06-05,1.0857173015892905,677712131
2021-06-06,1.09249133402635,670308185
2021-06-07,1.095717194382886,662963503
2021-06-08,1.1047891583977636,655639155
2021-06-09,1.111984130738224,648348552
2021-06-10,1.1350161676963395,640989692
2021-06-11,1.1414900783342463,633672859
2021-06-12,1.1582584112650924,626333290
2021-06-13,1.1614724538947285,619058602
2021-06-14,1.1682659299113367,611826352
2021-06-15,1.1782683162312693,604617396
2021-06-16,1.1814682282416282,597474034
2021-06-17,1.1846695929759714,590395941
2021-06-18,1.1914684773759239,583361560
2021-06-19,1.1946694865953627,576392318
2021-06-20,1.2037380465926963,569454065
2021-06-21,1.210922728814363,562558417
2021-06-22,1.2339658885569007,555616639
2021-06-23,1.2404635480366617,548724418
2021-06-24,1.2572200259437765,541825745
2021-06-25,1.2604458589510472,534996325
2021-06-26,1.2672275721682669,528216705
2021-06-27,1.2772299672411738,521470163
2021-06-28,1.2804416177983347,514793043
2021-06-29,1.2836547264080427,508184878
2021-06-30,1.2904418678464502,501627048
2021-07-01,1.2936546196372323,495137727
2021-07-02,1.3027247880888873,488687446
2021-07-03,1.3099143325610656,482286060
2021-07-04,1.332952236604876,475857418
2021-07-05,1.3394386743659408,469483600
2021-07-06,1.3562007539669092,463116460
2021-07-07,1.3594210158266709,456820758
2021-07-08,1.3662082871602244,450579635
2021-07-09,1.3762106780972068,444378710
2021-07-10,1.37941678199778,438248876
2021-07-11,1.3826243414330672,432189541
2021-07-12,1.3894170316141008,426184626
2021-07-13,1.3926242348466333,420249476
2021-07-14,1.4016936432771454,414358866
2021-07-15,1.4088808902559213,408521044
2021-07-16,1.4319212777038925,402671345
2021-07-17,1.4384130179117574,396879268
2021-07-18,1.4551724506201729,391103991
2021-07-19,1.4583953449388372,385400149
2021-07-20,1.4651799899709328,379753344
2021-07-21,1.4751823828622077,374151290
2021-07-22,1.47839110764932,368619871
2021-07-23,1.4816012891608636,363158395
2021-07-24,1.4883913574696706,357753177
2021-07-25,1.4916011824873086,352416927
2021-07-26,1.5006709500403212,347128309
2021-07-27,1.5078592826225479,341894103
2021-07-28,1.530898496621175,336660052
2021-07-29,1.537387731335645,331484282
2021-07-30,1.5541484147443614,326332525
2021-07-31,1.557370065182862,321250320
2021-08-01,1.5641559511856271,316225465
2021-08-02,1.5741583431534663,311247576
2021-08-03,1.5773658295285478,306338064
2021-08-04,1.580574772065899,301496162
2021-08-05,1.5873660792524904,296710315
