Entity,Code,Day,people_vaccinated_per_hundred
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,0.02
Africa,,2021-01-09,0
Africa,,2021-01-13,0
Africa,,2021-01-15,0
Africa,,2021-01-16,0
Africa,,2021-01-19,0
Africa,,2021-01-20,0
Africa,,2021-01-22,0
Africa,,2021-01-23,0
Africa,,2021-01-24,0
Africa,,2021-01-25,0
Africa,,2021-01-26,0
Africa,,2021-01-27,0
Africa,,2021-01-28,0
Africa,,2021-01-29,0
Africa,,2021-01-30,0
Africa,,2021-01-31,0
Africa,,2021-02-01,0
Africa,,2021-02-02,0
Africa,,2021-02-03,0
Africa,,2021-02-04,0
Africa,,2021-02-05,0
Africa,,2021-02-06,0
Africa,,2021-02-08,0
Africa,,2021-02-09,0
Africa,,2021-02-10,0
Africa,,2021-02-11,0
Africa,,2021-02-12,0
Africa,,2021-02-13,0
Africa,,2021-02-15,0
Africa,,2021-02-16,0
Africa,,2021-02-17,0
Africa,,2021-02-18,0
Africa,,2021-02-19,0.18
Africa,,2021-02-20,0.19
Africa,,2021-02-21,0.19
Africa,,2021-02-22,0.2
Africa,,2021-02-23,0.2
Africa,,2021-02-24,0.23
Africa,,2021-02-25,0.25
Africa,,2021-02-26,0.26
Africa,,2021-02-27,0.27
Africa,,2021-02-28,0.27
Africa,,2021-03-01,0.28
Africa,,2021-03-02,0.29
Africa,,2021-03-03,0.3
Africa,,2021-03-04,0.3
Africa,,2021-03-05,0.31
Africa,,2021-03-06,0.32
Africa,,2021-03-07,0.33
Africa,,2021-03-08,0.35
Africa,,2021-03-09,0.35
Africa,,2021-03-10,0.37
Africa,,2021-03-11,0.37
Africa,,2021-03-12,0.38
Africa,,2021-03-13,0.39
Africa,,2021-03-14,0.39
Africa,,2021-03-15,0.39
Africa,,2021-03-16,0.4
Africa,,2021-03-17,0.4
Albania,ALB,2021-01-10,0
Albania,ALB,2021-01-12,0
Albania,ALB,2021-01-13,0.01
Albania,ALB,2021-01-14,0.01
Albania,ALB,2021-01-15,0.01
Albania,ALB,2021-01-16,0.01
Albania,ALB,2021-01-17,0.01
Albania,ALB,2021-01-18,0.02
Albania,ALB,2021-01-19,0.02
Albania,ALB,2021-01-20,0.02
Albania,ALB,2021-01-21,0.02
Albania,ALB,2021-02-02,0.02
Albania,ALB,2021-02-09,0.02
Albania,ALB,2021-02-17,0.04
Albania,ALB,2021-02-18,0.08
Albania,ALB,2021-02-22,0.21
Andorra,AND,2021-01-25,0.75
Andorra,AND,2021-02-01,1.34
Andorra,AND,2021-02-10,1.67
Andorra,AND,2021-02-12,2.1
Andorra,AND,2021-02-19,2.77
Andorra,AND,2021-02-24,3.09
Andorra,AND,2021-03-08,3.16
Andorra,AND,2021-03-10,4.72
Angola,AGO,2021-03-05,0
Angola,AGO,2021-03-08,0.02
Anguilla,AIA,2021-02-04,0
Anguilla,AIA,2021-02-13,8.94
Anguilla,AIA,2021-02-14,18.41
Anguilla,AIA,2021-02-26,26.19
Anguilla,AIA,2021-03-13,33.33
Argentina,ARG,2021-01-20,0.54
Argentina,ARG,2021-01-21,0.55
Argentina,ARG,2021-01-22,0.56
Argentina,ARG,2021-01-23,0.57
Argentina,ARG,2021-01-24,0.58
Argentina,ARG,2021-01-25,0.58
Argentina,ARG,2021-01-26,0.59
Argentina,ARG,2021-01-27,0.6
Argentina,ARG,2021-01-28,0.61
Argentina,ARG,2021-01-29,0.62
Argentina,ARG,2021-01-30,0.62
Argentina,ARG,2021-02-01,0.62
Argentina,ARG,2021-02-03,0.63
Argentina,ARG,2021-02-04,0.66
Argentina,ARG,2021-02-06,0.68
Argentina,ARG,2021-02-07,0.71
Argentina,ARG,2021-02-08,0.71
Argentina,ARG,2021-02-09,0.71
Argentina,ARG,2021-02-10,0.75
Argentina,ARG,2021-02-11,0.8
Argentina,ARG,2021-02-12,0.81
Argentina,ARG,2021-02-13,0.82
Argentina,ARG,2021-02-14,0.82
Argentina,ARG,2021-02-15,0.82
Argentina,ARG,2021-02-16,0.83
Argentina,ARG,2021-02-17,0.83
Argentina,ARG,2021-02-18,0.87
Argentina,ARG,2021-02-19,0.92
Argentina,ARG,2021-02-20,0.99
Argentina,ARG,2021-02-21,1.01
Argentina,ARG,2021-02-22,1.02
Argentina,ARG,2021-02-23,1.07
Argentina,ARG,2021-02-24,1.14
Argentina,ARG,2021-02-25,1.24
Argentina,ARG,2021-02-26,1.37
Argentina,ARG,2021-02-27,1.54
Argentina,ARG,2021-02-28,1.62
Argentina,ARG,2021-03-01,1.67
Argentina,ARG,2021-03-02,1.82
Argentina,ARG,2021-03-03,1.94
Argentina,ARG,2021-03-04,2.08
Argentina,ARG,2021-03-05,2.28
Argentina,ARG,2021-03-07,2.62
Argentina,ARG,2021-03-08,2.66
Argentina,ARG,2021-03-09,2.88
Argentina,ARG,2021-03-10,3.15
Argentina,ARG,2021-03-11,3.46
Argentina,ARG,2021-03-12,3.8
Argentina,ARG,2021-03-13,4.15
Argentina,ARG,2021-03-14,4.28
Argentina,ARG,2021-03-15,4.32
Argentina,ARG,2021-03-16,4.57
Argentina,ARG,2021-03-17,4.8
Asia,,2020-12-15,0
Asia,,2020-12-19,0
Asia,,2020-12-20,0
Asia,,2020-12-21,0
Asia,,2020-12-22,0
Asia,,2020-12-23,0
Asia,,2020-12-24,0.01
Asia,,2020-12-25,0.01
Asia,,2020-12-26,0.01
Asia,,2020-12-27,0.01
Asia,,2020-12-28,0.01
Asia,,2020-12-29,0.02
Asia,,2020-12-30,0.02
Asia,,2020-12-31,0.02
Asia,,2021-01-01,0.02
Asia,,2021-01-02,0.03
Asia,,2021-01-03,0.03
Asia,,2021-01-04,0.03
Asia,,2021-01-05,0.04
Asia,,2021-01-06,0.04
Asia,,2021-01-07,0.04
Asia,,2021-01-08,0.04
Asia,,2021-01-09,0.04
Asia,,2021-01-10,0.06
